# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF Hero 2 HB engine.
# Circuit: hero2.cnl  |  Branch: M1:d  |  Quantity: I M1:d branch (device current, A)
# f0 = 2.000 GHz  |  K (max harmonic) = 4
# Columns: freq_Hz; Pave_dBm; Re; Im
freq_Hz; Pave_dBm; Re; Im
0; -20; 0.049129857; 0
2000000000; -20; 0.0018624862; 2.6571952E-06
4000000000; -20; 1.6824119E-05; 4.8077917E-08
6000000000; -20; 9.052102E-08; 3.9034463E-10
8000000000; -20; 2.5945338E-10; 1.5406634E-12
0; -19; 0.049134214; 0
2000000000; -19; 0.0020898229; 2.9815434E-06
4000000000; -19; 2.1180651E-05; 6.0527657E-08
6000000000; -19; 1.2786383E-07; 5.5143658E-10
8000000000; -19; 4.1119841E-10; 2.4063807E-12
0; -18; 0.049139698; 0
2000000000; -18; 0.0023449314; 3.3455181E-06
4000000000; -18; 2.6665398E-05; 7.6201658E-08
6000000000; -18; 1.8061161E-07; 7.7885146E-10
8000000000; -18; 6.5162225E-10; 3.851048E-12
0; -17; 0.049146603; 0
2000000000; -17; 0.0026312138; 3.7539752E-06
4000000000; -17; 3.3570599E-05; 9.5935125E-08
6000000000; -17; 2.5511908E-07; 1.1002221E-09
8000000000; -17; 1.032714E-09; 6.1075624E-12
0; -16; 0.049155296; 0
2000000000; -16; 0.0029524929; 4.2123714E-06
4000000000; -16; 4.2264232E-05; 1.2077977E-07
6000000000; -16; 3.6036254E-07; 1.5540491E-09
8000000000; -16; 1.6366054E-09; 9.6818456E-12
0; -15; 0.04916624; 0
2000000000; -15; 0.0033130659; 4.7268415E-06
4000000000; -15; 5.3209657E-05; 1.5206008E-07
6000000000; -15; 5.0902063E-07; 2.1951943E-09
8000000000; -15; 2.5935609E-09; 1.5303325E-11
0; -14; 0.049180019; 0
2000000000; -14; 0.003717765; 5.3042858E-06
4000000000; -14; 6.6990382E-05; 1.9144391E-07
6000000000; -14; 7.1900192E-07; 3.1007703E-09
8000000000; -14; 4.1099885E-09; 2.4307188E-11
0; -13; 0.049197368; 0
2000000000; -13; 0.0041720281; 5.9524704E-06
4000000000; -13; 8.4341272E-05; 2.4103195E-07
6000000000; -13; 1.0156015E-06; 4.3799819E-09
8000000000; -13; 6.5126564E-09; 3.8422293E-11
0; -12; 0.049219211; 0
2000000000; -12; 0.0046819782; 6.6801431E-06
4000000000; -12; 0.00010618789; 3.0347035E-07
6000000000; -12; 1.4345473E-06; 6.1868258E-09
8000000000; -12; 1.0319508E-08; 6.0924456E-11
0; -11; 0.049246713; 0
2000000000; -11; 0.0052545171; 7.497167E-06
4000000000; -11; 0.00013369613; 3.8209274E-07
6000000000; -11; 2.026302E-06; 8.7391864E-09
8000000000; -11; 1.6350667E-08; 9.6565953E-11
0; -10; 0.049281342; 0
2000000000; -10; 0.0058974325; 8.4146764E-06
4000000000; -10; 0.00016833484; 4.8109934E-07
6000000000; -10; 2.8621389E-06; 1.2344399E-08
8000000000; -10; 2.5904636E-08; 1.5297864E-10
0; -9; 0.049324946; 0
2000000000; -9; 0.0066195242; 9.4452595E-06
4000000000; -9; 0.00021195488; 6.05784E-07
6000000000; -9; 4.0427201E-06; 1.7436907E-08
8000000000; -9; 4.1037393E-08; 2.4233822E-10
0; -8; 0.049379856; 0
2000000000; -8; 0.0074307541; 1.0603176E-05
4000000000; -8; 0.00026688904; 7.6282038E-07
6000000000; -8; 5.7102108E-06; 2.4630239E-08
8000000000; -8; 6.500249E-08; 3.838814E-10
0; -7; 0.049449007; 0
2000000000; -7; 0.0083424231; 1.1904616E-05
4000000000; -7; 0.00033607836; 9.6062463E-07
6000000000; -7; 8.0653813E-06; 3.4791091E-08
8000000000; -7; 1.0294745E-07; 6.0811383E-10
0; -6; 0.0495361; 0
2000000000; -6; 0.0093673862; 1.3368014E-05
4000000000; -6; 0.00042323211; 1.2098151E-06
6000000000; -6; 1.1391749E-05; 4.9143564E-08
8000000000; -6; 1.6301177E-07; 9.6295304E-10
0; -5; 0.049645803; 0
2000000000; -5; 0.010520314; 1.5014437E-05
4000000000; -5; 0.00053303059; 1.523796E-06
6000000000; -5; 1.6089651E-05; 6.9416824E-08
8000000000; -5; 2.5805879E-07; 1.5248079E-09
0; -4; 0.049784003; 0
2000000000; -4; 0.011818017; 1.6868056E-05
4000000000; -4; 0.00067138269; 1.9194995E-06
6000000000; -4; 2.2724324E-05; 9.8053208E-08
8000000000; -4; 4.0840154E-07; 2.4136704E-09
0; -3; 0.049958135; 0
2000000000; -3; 0.013279847; 1.8956756E-05
4000000000; -3; 0.00084575362; 2.4183331E-06
6000000000; -3; 3.2093719E-05; 1.3850235E-07
8000000000; -3; 6.4608572E-07; 3.8195831E-09
0; -2; 0.050177587; 0
2000000000; -2; 0.014928215; 2.1312894E-05
4000000000; -2; 0.0010655831; 3.0473903E-06
6000000000; -2; 4.5324122E-05; 1.9563663E-07
8000000000; -2; 1.0216043E-06; 6.0418931E-09
0; -1; 0.050454228; 0
2000000000; -1; 0.016789244; 2.3974292E-05
4000000000; -1; 0.0013428204; 3.8410058E-06
6000000000; -1; 6.4004886E-05; 2.7633717E-07
8000000000; -1; 1.6143895E-06; 9.5523119E-09
0; 0; 0.050803077; 0
2000000000; 0; 0.018893631; 2.698553E-05
4000000000; 0; 0.0016926111; 4.8427598E-06
6000000000; 0; 9.0378127E-05; 3.9032156E-07
8000000000; 0; 2.5491437E-06; 1.50924E-08
