# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF two-tone HB engine (Phase 4c).
# A future cross-check against other simulators with the identical SDD FET is owed.
# Circuit: hero5.cnl  |  Node: n_gate  |  Quantity: I_nl (device current, A)
# f1 = 1.9950 GHz, f2 = 2.0050 GHz  |  MaxMixOrder = 5
# Columns: k1; k2; freq_Hz; Pave_dBm; Re; Im
k1; k2; freq_Hz; Pave_dBm; Re; Im
0; 0; 0; -20; -0.060999999; 0
1; 0; 1995000000; -20; 0.00059628374; 7.9346221E-07
0; 1; 2005000000; -20; 0.00059628375; 7.8950481E-07
2; 0; 3990000000; -20; -1.2266347E-18; -0
1; 1; 4000000000; -20; 1.0535272E-19; -1.1732178E-20
1; -1; -10000000; -20; -9.8743098E-20; 2.3601424E-20
0; 2; 4010000000; -20; 8.7561319E-20; -9.5870725E-20
3; 0; 5985000000; -20; 3.726945E-19; 1.7351073E-18
2; 1; 5995000000; -20; 3.2166698E-20; 9.3665614E-20
2; -1; 1985000000; -20; 1.387186E-19; -3.4214708E-20
1; 2; 6005000000; -20; -1.6940535E-20; 5.093857E-20
1; -2; -2015000000; -20; 3.4960083E-20; -4.9796224E-20
0; 3; 6015000000; -20; -8.8866747E-19; -1.1299642E-18
4; 0; 7980000000; -20; -1.2266347E-18; 1.2266347E-18
3; 1; 7990000000; -20; -8.3379872E-20; 1.0109805E-19
3; -1; 3980000000; -20; 1.2300543E-19; -9.4302711E-20
2; 2; 8000000000; -20; -4.5787115E-20; -7.9936544E-20
2; -2; -20000000; -20; 3.6583197E-20; 5.8877122E-20
1; 3; 8010000000; -20; 2.7774159E-20; -9.5255852E-20
1; -3; -4020000000; -20; 1.3841016E-19; -8.3752993E-20
0; 4; 8020000000; -20; 3.8332335E-20; -3.8332335E-20
5; 0; 9975000000; -20; 3.3476319E-20; -6.8121698E-19
4; 1; 9985000000; -20; 2.4404272E-19; 1.232205E-19
4; -1; 5975000000; -20; -2.8564383E-20; -2.6396046E-19
3; 2; 9995000000; -20; -1.3175007E-19; 3.8275898E-20
3; -2; 1975000000; -20; -3.2064614E-20; -1.8237386E-19
2; 3; 10005000000; -20; -1.5953336E-19; -3.5325839E-20
2; -3; -2025000000; -20; -2.6863082E-19; -1.1916431E-19
1; 4; 10015000000; -20; -5.5418008E-20; 1.1660176E-19
1; -4; -6025000000; -20; -1.9773573E-20; -1.0164522E-19
0; 5; 10025000000; -20; 2.8626011E-19; -7.8007434E-19
0; 0; 0; -16; -0.060999999; 0
1; 0; 1995000000; -16; 0.00094504604; 1.2575528E-06
0; 1; 2005000000; -16; 0.00094504606; 1.2512808E-06
2; 0; 3990000000; -16; -5.3543677E-19; 8.0133776E-19
1; 1; 4000000000; -16; -1.0596138E-19; 2.3222075E-20
1; -1; -10000000; -16; -1.2893352E-19; -6.4089996E-20
0; 2; 4010000000; -16; 2.2710667E-19; 1.1985738E-19
3; 0; 5985000000; -16; -9.9611075E-19; 2.8696417E-18
2; 1; 5995000000; -16; 1.5774062E-19; -3.5462418E-20
2; -1; 1985000000; -16; 4.9910392E-20; -1.3632991E-19
